  
       XFOIL         Version 6.97
  
 Calculated polar for: SG6043                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.060     Re =     0.425 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.0966   0.10383   0.10133  -0.0761   0.9742   0.0188
  -9.000  -0.1547   0.10160   0.09901  -0.0741   0.9752   0.0188
  -8.000  -0.1025   0.08579   0.08322  -0.0906   0.9628   0.0207
  -7.000  -0.0492   0.07242   0.06986  -0.1041   0.9454   0.0238
  -6.000   0.0274   0.05629   0.05371  -0.1263   0.9275   0.0270
  -5.000   0.1806   0.01953   0.01646  -0.1592   0.9035   0.0358
  -4.000   0.2929   0.00938   0.00519  -0.1697   0.8854   0.0443
  -3.000   0.4194   0.00315  -0.00286  -0.1739   0.8700   0.0283
  -2.000   0.5365   0.00253  -0.00343  -0.1756   0.8503   0.0734
  -1.000   0.6543   0.00206  -0.00307  -0.1780   0.8298   0.4089
   0.000   0.7587   0.00185  -0.00252  -0.1763   0.8041   0.7666
   1.000   0.8532   0.00183  -0.00240  -0.1717   0.7751   1.0000
   2.000   0.9590   0.00190  -0.00255  -0.1703   0.7391   1.0000
   3.000   1.0594   0.00201  -0.00262  -0.1678   0.6928   1.0000
   4.000   1.1512   0.00221  -0.00265  -0.1636   0.6273   1.0000
   5.000   1.2314   0.00259  -0.00259  -0.1574   0.5424   1.0000
   6.000   1.2918   0.00325  -0.00234  -0.1476   0.4331   1.0000
   7.000   1.3362   0.00446  -0.00165  -0.1358   0.3109   1.0000
   8.000   1.3805   0.00629  -0.00022  -0.1252   0.2136   1.0000
   9.000   1.4232   0.00888   0.00218  -0.1156   0.1468   1.0000
  10.000   1.4620   0.01259   0.00588  -0.1067   0.1069   1.0000
  11.000   1.4952   0.01791   0.01133  -0.0985   0.0812   1.0000
  12.000   1.5174   0.02579   0.01939  -0.0910   0.0641   1.0000
  13.000   1.5352   0.03587   0.02980  -0.0850   0.0529   1.0000
  14.000   1.5391   0.04957   0.04389  -0.0806   0.0446   1.0000
  15.000   1.5273   0.06680   0.06155  -0.0785   0.0384   1.0000
  16.000   1.5021   0.08587   0.08106  -0.0795   0.0334   1.0000
  17.000   1.4700   0.10421   0.09996  -0.0836   0.0296   1.0000
  18.000   1.4124   0.12190   0.11828  -0.0904   0.0271   1.0000
  19.000   1.3722   0.13930   0.13618  -0.0996   0.0248   1.0000
  20.000   1.5986   0.14090   0.13724  -0.1042   0.0212   1.0000
  21.000   1.5846   0.15935   0.15600  -0.1151   0.0198   1.0000
  22.000   1.5474   0.18426   0.18156  -0.1326   0.0189   1.0000
  23.000   1.4760   0.22058   0.21859  -0.1604   0.0186   1.0000
